635	US715	VCE-PHL	767	0.00
565	US711	ZRH-PHL	767	0.00
950	DL265	AMS-MSP	767	0.00
830	DL267	AMS-BOS	767	0.00
580	DL261	LHR-MIA	764	0.00
550	DL109	MAD-ATL	764	0.00
840	DL263	LHR-DTW	764	1.00
620	DL107	FRA-JFK	752	0.80
870	MT214	LGW-YYZ	332	0.00
700	AC837	MAD-YYZ	763	0.00
675	AC831	GVA-YUL	763	0.00
585	AC833	BRU-YUL	333	0.48
760	AC839	FRA-YOW	763	0.00
760	US769	GLA-PHL	752	0.00
730	TS643	SUF-YYZ	330	0.00
705	TS641	PSR-YYZ	310	0.00
550	AZ642	FCO-EWR	764	0.00
785	LH498	FRA-MEX	744	0.00
530	LH494	FRA-YYC	343	0.00
740	LH492	FRA-YVR	346	0.36
515	LH490	FRA-SEA	333	0.00
610	US787	CDG-CLT	332	0.88
590	BA2203	LGW-CUN	777	0.00
490	AB7008	DUS-RSW	332	0.00
595	AA71	FRA-DFW	763	0.00
665	MT376	GLA-SFB	333	0.00
915	AA79	LHR-DFW	777	0.72
930	SV903	BRU-JFK	74Y	0.00
620	DE4066	FRA-ANC	763	0.88
730	AY5	HEL-JFK	330	1.00
815	PTI663	AMS-IAH	737	0.00
565	CO37	EDI-EWR	752	0.00
730	LH422	FRA-BOS	744	0.00
570	CO35	LHR-IAH	777	0.52
825	NY263	RKV-UAK	F50	0.00
505	CO33	CDG-IAH	764	0.00
715	LH426	FRA-PHL	343	0.00
895	LH424	MUC-BOS	346	0.00
555	SK945	ARN-ORD	333	0.00
795	TS343	MUC-YYC	330	0.00
885	SK943	CPH-ORD	343	0.00
625	CO39	OSL-EWR	752	0.00
570	AF664	CDG-ORD	343	0.92
1085	AA155	LHR-BOS	757	0.68
695	AA151	BCN-JFK	763	0.00
550	UA979	ZRH-EWR	763	0.52
560	TS869	LGW-YVR	330	0.72
660	UA975	GVA-IAD	763	0.00
610	TS865	LGW-YYC	330	0.60
600	UA973	BRU-ORD	763	0.00
460	CV6604	LUX-MEX	74F	0.00
885	LH8240	FRA-ORD	M1F	0.00
1090	AF322	CDG-BOS	744	0.64
720	IG3932	PMO-JFK	330	0.00
1090	AF8	CDG-JFK	343	0.84
900	AA125	LHR-BOS	757	0.84
555	DL5	LHR-DTW	764	0.00
610	DL4	LHR-JFK	764	0.00
1080	CO115	LHR-EWR	752	0.68
755	AF6	CDG-JFK	77W	0.68
665	CO111	LHR-EWR	752	0.92
725	CO113	LHR-EWR	752	0.52
610	DL141	BRU-JFK	752	0.00
580	DL143	FRA-DTW	764	0.00
815	DL145	LHR-BOS	752	0.64
685	BA193	LHR-DFW	744	0.00
875	BA197	LHR-IAH	777	0.76
625	BA195	LHR-IAH	777	0.92
530	TK7	IST-IAD	77W	0.00
1030	BA293	LHR-IAD	777	0.60
560	TK5	IST-ORD	343	0.00
705	BA295	LHR-ORD	744	0.00
925	BA297	LHR-ORD	777	0.00
540	TK1	IST-JFK	77W	0.00
1025	DL2	LHR-JFK	764	0.00
835	DL223	AMS-SEA	767	0.00
550	TK9	IST-LAX	77W	0.00
740	AC879	ZRH-YYZ	333	0.00
1050	BA103	LHR-YYC	767	0.00
680	AZ604	MXP-JFK	330	0.00
750	AC871	CDG-YUL	763	0.92
500	DL37	CDG-ATL	767	0.00
540	AC873	FRA-YYZ	77W	0.00
595	DL31	SVO-JFK	767	0.00
570	AC875	FRA-YUL	77W	0.00
960	AC877	FRA-YYZ	333	0.60
730	WG211	LIS-YYZ	763	0.00
930	AF434	CDG-MEX	772	0.00
750	AF438	CDG-MEX	744	0.96
960	BA189	LHR-EWR	767	0.60
595	AC895	DUB-YYZ	763	0.00
720	AC893	FCO-YUL	763	0.00
630	AC891	FCO-YYZ	763	0.80
425	SU313	SVO-JFK	763	0.00
700	SU315	SVO-JFK	333	0.00
725	SU317	SVO-IAD	763	0.00
975	AC899	LHR-YEG	763	0.88
530	DL131	MUC-ATL	764	0.00
560	DL133	ATH-JFK	333	0.00
615	DL139	ATH-ATL	767	0.00
735	AA37	MAD-DFW	763	0.00
585	US751	BRU-PHL	767	0.48
815	BA209	LHR-MIA	744	0.64
635	US755	CDG-PHL	332	0.00
1225	VS17	LHR-EWR	346	0.00
1035	BA85	LHR-YVR	744	0.68
780	VS15	LGW-MCO	744	0.00
585	US759	ATH-PHL	767	0.00
775	BA87	LHR-YVR	744	0.00
780	VS19	LHR-SFO	744	0.72
665	BA207	LHR-MIA	744	0.64
565	OS93	VIE-IAD	763	0.00
565	SK903	ARN-EWR	333	0.00
790	LH464	FRA-MCO	346	0.68
535	LH462	FRA-MIA	388	0.72
685	SK909	CPH-EWR	333	0.84
760	EC3	ORY-EWR	752	0.00
585	EC1	ORY-EWR	752	0.00
495	CO71	AMS-EWR	752	0.00
585	KL661	AMS-IAH	74M	0.00
750	CO77	LIS-EWR	752	0.00
