735	CO103	AMS-EWR	752
550	CO59	AMS-IAH	764
490	CO69	ARN-EWR	752
600	CO105	ATH-EWR	764
585	CO121	BCN-EWR	752
675	CO95	BFS-EWR	752
540	CO27	BHX-EWR	752
525	CO61	BRU-EWR	777
540	CO57	CDG-EWR	764
715	CO55	CDG-EWR	752
960	CO133	CDG-IAD	752
505	CO33	CDG-IAH	764
485	CO123	CPH-EWR	752
540	CO23	DUB-EWR	752
655	CO127	DUB-EWR	752
565	CO37	EDI-EWR	752
730	CO109	EDI-EWR	752
530	CO41	FCO-EWR	764
620	CO51	FRA-EWR	777
770	CO47	FRA-IAH	764
540	CO17	GLA-EWR	752
500	CO81	GVA-EWR	764
480	CO75	HAM-EWR	752
520	CO19	LHR-EWR	752
605	CO29	LHR-EWR	777
665	CO111	LHR-EWR	752
725	CO113	LHR-EWR	752
1080	CO115	LHR-EWR	752
570	CO35	LHR-IAH	777
700	CO5	LHR-IAH	777
625	CO65	LIS-EWR	752
750	CO77	LIS-EWR	752
635	CO63	MAD-EWR	762
565	CO21	MAN-EWR	752
690	CO101	MAN-EWR	752
500	CO107	MUC-EWR	764
560	CO45	MXP-EWR	762
625	CO39	OSL-EWR	752
540	CO25	SNN-EWR	752
510	CO153	STR-EWR	752
515	CO97	TXL-EWR	752
460	CV6604	LUX-MEX	74F
875	CV8604	LUX-MIA	74F
620	DE4066	FRA-ANC	763
685	DE4156	FRA-CUN	763
635	DE4082	FRA-LAS	763
810	DE4048	FRA-SEA	763
635	DL163	AGP-JFK	752
480	DL175	AMS-ATL	767
605	DL239	AMS-ATL	333
610	DL231	AMS-BOS	333
830	DL267	AMS-BOS	767
420	DL251	AMS-DTW	332
575	DL243	AMS-DTW	744
740	DL235	AMS-DTW	333
960	DL249	AMS-DTW	767
595	DL57	AMS-EWR	767
600	DL71	AMS-JFK	332
800	DL157	AMS-MEM	767
570	DL259	AMS-MSP	333
750	DL247	AMS-MSP	333
950	DL265	AMS-MSP	767
540	DL179	AMS-PDX	332
565	DL233	AMS-SEA	333
835	DL223	AMS-SEA	767
620	DL203	ARN-JFK	752
615	DL139	ATH-ATL	767
560	DL133	ATH-JFK	333
540	DL115	BCN-ATL	333
620	DL95	BCN-JFK	333
570	DL81	BRU-ATL	767
610	DL141	BRU-JFK	752
710	DL99	BUD-JFK	767
500	DL37	CDG-ATL	767
750	DL21	CDG-ATL	767
610	DL254	CDG-BOS	752
580	DL45	CDG-CVG	767
775	DL185	CDG-JFK	767
580	DL219	CDG-MSP	767
745	DL197	CDG-PHL	752
610	DL205	CDG-PIT	752
600	DL171	CDG-SLC	767
615	DL69	CPH-ATL	767
775	DL119	CPH-JFK	752
750	DL177	DUB-ATL	333
630	DL165	DUB-JFK	752
850	DL59	DUB-JFK	767
500	DL25	DUS-ATL	767
570	DL241	FCO-ATL	333
700	DL237	FCO-DTW	333
530	DL169	FCO-JFK	767
660	DL245	FCO-JFK	333
525	DL15	FRA-ATL	764
580	DL143	FRA-DTW	764
620	DL107	FRA-JFK	752
615	DL73	IST-JFK	332
540	DL11	LGW-ATL	767
785	DL9	LHR-ATL	764
630	DL271	LHR-BOS	764
815	DL145	LHR-BOS	752
555	DL5	LHR-DTW	764
840	DL263	LHR-DTW	764
610	DL4	LHR-JFK	764
750	DL149	LHR-JFK	764
1025	DL2	LHR-JFK	764
580	DL261	LHR-MIA	764
865	DL41	LHR-MSP	764
550	DL109	MAD-ATL	764
630	DL127	MAD-JFK	764
620	DL65	MAN-ATL	767
670	DL155	MAN-JFK	752
530	DL131	MUC-ATL	764
605	DL75	MXP-ATL	767
585	DL161	MXP-JFK	764
575	DL83	NCE-JFK	764
605	DL63	PRG-ATL	767
655	DL211	PRG-JFK	332
665	DL123	SNN-JFK	752
600	DL117	STR-ATL	767
595	DL31	SVO-JFK	767
640	DL79	TXL-JFK	767
640	DL193	VCE-ATL	767
725	DL87	VCE-JFK	764
565	DL199	VLC-JFK	752
530	DL67	ZRH-ATL	767
775	DL207	ZRH-JFK	767
585	EC1	ORY-EWR	752
760	EC3	ORY-EWR	752
660	EC11	ORY-IAD	752
850	EI137	DUB-BOS	330
645	EI105	DUB-JFK	330
1020	EI109	DUB-JFK	330
750	EI121	DUB-MCO	332
770	EI125	DUB-ORD	330
810	EI135	SNN-BOS	330
480	GL781	CPH-SFJ	332
500	GL785	CPH-UAK	738
490	HY101	RIX-JFK	763
835	IB6165	MAD-BOS	340
770	IB6251	MAD-JFK	346
950	IB6253	MAD-JFK	340
