975	NZ1	LHR-LAX	773	0.8830
670	LX22	GVA-JFK	333	1.0000
655	UA937	ZRH-IAD	763	1.0000
555	TS391	HAM-YYZ	310	1.0000
630	TS393	LYS-YUL	310	1.0000
650	US719	FCO-PHL	333	1.0000
635	US715	VCE-PHL	767	1.0000
565	US711	ZRH-PHL	767	1.0000
950	DL265	AMS-MSP	767	0.9460
830	DL267	AMS-BOS	767	0.8300
580	DL261	LHR-MIA	764	0.9940
550	DL109	MAD-ATL	764	1.0000
840	DL263	LHR-DTW	764	0.7720
620	DL107	FRA-JFK	752	1.0000
870	MT214	LGW-YYZ	332	0.9940
700	AC837	MAD-YYZ	763	0.9990
675	AC831	GVA-YUL	763	0.9700
585	AC833	BRU-YUL	333	0.9990
760	AC839	FRA-YOW	763	0.9990
760	US769	GLA-PHL	752	1.0000
730	TS643	SUF-YYZ	330	0.6810
705	TS641	PSR-YYZ	310	1.0000
550	AZ642	FCO-EWR	764	1.0000
785	LH498	FRA-MEX	744	0.9990
530	LH494	FRA-YYC	343	0.9910
740	LH492	FRA-YVR	346	0.8010
515	LH490	FRA-SEA	333	0.9990
610	US787	CDG-CLT	332	1.0000
590	BA2203	LGW-CUN	777	0.9770
490	AB7008	DUS-RSW	332	0.0000
595	AA71	FRA-DFW	763	0.9990
665	MT376	GLA-SFB	333	0.9990
915	AA79	LHR-DFW	777	1.0000
930	SV903	BRU-JFK	74Y	1.0000
620	DE4066	FRA-ANC	763	0.0000
730	AY5	HEL-JFK	330	1.0000
815	PTI663	AMS-IAH	737	0.9720
565	CO37	EDI-EWR	752	1.0000
730	LH422	FRA-BOS	744	1.0000
570	CO35	LHR-IAH	777	1.0000
825	NY263	RKV-UAK	F50	0.9540
505	CO33	CDG-IAH	764	0.8790
715	LH426	FRA-PHL	343	1.0000
895	LH424	MUC-BOS	346	1.0000
555	SK945	ARN-ORD	333	1.0000
795	TS343	MUC-YYC	330	0.9150
885	SK943	CPH-ORD	343	0.9700
625	CO39	OSL-EWR	752	1.0000
570	AF664	CDG-ORD	343	0.9960
1085	AA155	LHR-BOS	757	0.9230
695	AA151	BCN-JFK	763	1.0000
550	UA979	ZRH-EWR	763	1.0000
560	TS869	LGW-YVR	330	0.9850
660	UA975	GVA-IAD	763	1.0000
610	TS865	LGW-YYC	330	0.9600
600	UA973	BRU-ORD	763	1.0000
460	CV6604	LUX-MEX	74F	1.0000
885	LH8240	FRA-ORD	M1F	0.9840
1090	AF322	CDG-BOS	744	0.9780
720	IG3932	PMO-JFK	330	0.9990
1090	AF8	CDG-JFK	343	0.9790
900	AA125	LHR-BOS	757	0.9980
555	DL5	LHR-DTW	764	0.9460
610	DL4	LHR-JFK	764	1.0000
1080	CO115	LHR-EWR	752	1.0000
755	AF6	CDG-JFK	77W	1.0000
665	CO111	LHR-EWR	752	1.0000
725	CO113	LHR-EWR	752	1.0000
610	DL141	BRU-JFK	752	1.0000
580	DL143	FRA-DTW	764	1.0000
815	DL145	LHR-BOS	752	1.0000
685	BA193	LHR-DFW	744	1.0000
875	BA197	LHR-IAH	777	0.9930
625	BA195	LHR-IAH	777	1.0000
530	TK7	IST-IAD	77W	1.0000
1030	BA293	LHR-IAD	777	0.9990
560	TK5	IST-ORD	343	0.9990
705	BA295	LHR-ORD	744	0.9960
925	BA297	LHR-ORD	777	0.9880
540	TK1	IST-JFK	77W	1.0000
1025	DL2	LHR-JFK	764	1.0000
835	DL223	AMS-SEA	767	0.9690
550	TK9	IST-LAX	77W	0.9930
740	AC879	ZRH-YYZ	333	1.0000
1050	BA103	LHR-YYC	767	0.4590
680	AZ604	MXP-JFK	330	1.0000
750	AC871	CDG-YUL	763	0.9980
