alpha_eff	formation_count	distance_success_rate	distance_total	formation_success_rate	hub_lon	distance_solo	distance_formation	hub_lat
-0.07868789424816602	89.0	0.1502356114121562	2104534.026797406	0.9569288389513109	-60.0	1788358.0705438107	316175.95625359536	40.0
-0.07982715919787836	88.0	0.16916389263963053	2111432.6532884473	0.9550561797752809	-57.5	1754254.48661175	357178.16667669715	40.0
-0.07766355284870681	88.0	0.19110662681296328	2112752.8976463587	0.949438202247191	-55.0	1708991.8180878493	403761.07955850946	40.0
-0.07936910447557297	91.0	0.212915267553137	2121454.266885511	0.9606741573033708	-52.5	1669764.2640498385	451690.0028356727	40.0
-0.08042740122512326	95.0	0.23029035797713984	2127810.800071854	0.9550561797752809	-50.0	1637796.4892156823	490014.31085617165	40.0
-0.08004054258549465	93.0	0.25749634769123964	2133847.043066553	0.947565543071161	-47.5	1584389.2229451642	549457.8201213886	40.0
-0.08130341603563754	96.0	0.26696642504587953	2138626.3042406687	0.9363295880149812	-45.0	1567684.8852884558	570941.4189522128	40.0
-0.08114241858605337	103.0	0.2932439633312923	2144864.0718535488	0.9456928838951311	-42.5	1515895.6306163205	628968.4412372283	40.0
-0.08306810299783307	96.0	0.3081941228959021	2152278.6926505687	0.9288389513108615	-40.0	1488959.048741588	663319.6439089809	40.0
-0.08425663762120122	102.0	0.33108002290216243	2160257.661823068	0.9307116104868914	-37.5	1445039.5056721147	715218.1561509531	40.0
-0.0838101289765367	109.0	0.3599099921640291	2166584.164138691	0.9438202247191011	-35.0	1386808.8746008251	779775.2895378658	40.0
-0.0852810403294479	109.0	0.37593823660288417	2173395.8696293854	0.9400749063670412	-32.5	1356333.2589609222	817062.610668463	40.0
-0.08659545153682939	107.0	0.3886555583636218	2179082.8505944237	0.9157303370786517	-30.0	1332170.1885760555	846912.6620183685	40.0
-0.08777479007142161	109.0	0.41094601957196736	2186895.860774932	0.9250936329588015	-27.5	1288199.7115710622	898696.1492038696	40.0
-0.08912686899073821	108.0	0.4310752061886535	2194501.4770286893	0.9194756554307116	-25.0	1248506.3003372427	945995.1766914469	40.0
-0.09157259700454529	113.0	0.4444439866182246	2202518.7109083696	0.900749063670412	-22.5	1223622.514431021	978896.1964773487	40.0
-0.09372459446828463	118.0	0.45780081033328396	2209970.085485435	0.8932584269662921	-20.0	1198243.9895378859	1011726.095947549	40.0
-0.09816355699320134	118.0	0.46852941100856865	2221149.2625668645	0.8895131086142322	-17.5	1180475.5068142947	1040673.7557525696	40.0
-0.1020512861630555	123.0	0.4862112685873637	2233004.305315364	0.8876404494382022	-15.0	1147292.449266936	1085711.856048428	40.0
-0.10859889394040856	125.0	0.4810858491828684	2244274.742440679	0.8670411985018727	-12.5	1164585.9221739417	1079688.8202667374	40.0
-0.11364504844341003	130.0	0.5002469249078974	2258718.1989788935	0.848314606741573	-10.0	1128801.3657061975	1129916.8332726958	40.0
-0.12291185249424043	129.0	0.4972694649528037	2275734.5782224126	0.8352059925093633	-7.5	1144081.2621351592	1131653.3160872536	40.0
-0.1377993166793034	133.0	0.47320238379910823	2298268.0499838693	0.7846441947565543	-5.0	1210722.130122174	1087545.919861695	40.0
-0.15282863506629413	137.0	0.47860816760300195	2328415.6722502247	0.7734082397003745	-2.5	1214016.9139364327	1114398.758313792	40.0
-0.17031459042956426	134.0	0.4864879316967504	2363887.308656691	0.7827715355805244	0.0	1213884.6611040996	1150002.6475525915	40.0
-0.19438839952866013	126.0	0.4820515120430753	2408915.134940534	0.7808988764044944	2.5	1247693.951759001	1161221.1831815331	40.0
-0.2158724399401268	134.0	0.5284992348417286	2461656.4596678	0.8239700374531835	5.0	1160672.904290169	1300983.5553776307	40.0
-0.24781762255597228	132.0	0.5147372481517745	2519445.1314406605	0.8202247191011236	7.5	1222592.8776135093	1296852.2538271511	40.0
-0.281268864086595	130.0	0.512673424693035	2583034.1478891056	0.8127340823970037	10.0	1258781.1851917424	1324252.9626973632	40.0
-0.31745803451080495	130.0	0.5240521669045596	2655218.7289791848	0.850187265917603	12.5	1263745.6004520725	1391473.1285271123	40.0
-0.3569955904231672	126.0	0.5249684483595284	2731213.4557712544	0.848314606741573	15.0	1297412.5657563533	1433800.8900149008	40.0
-0.3999630002610937	121.0	0.5215115602732342	2812691.4185765386	0.8539325842696629	17.5	1345840.3283075516	1466851.0902689872	40.0
-0.44320391878656784	118.0	0.5241459503967739	2896210.976551478	0.8558052434456929	20.0	1378173.7216973351	1518037.254854143	40.0
-0.49024348243773247	111.0	0.5032809757292868	2981155.752025039	0.850187265917603	22.5	1480796.7763449016	1500358.9756801373	40.0
-0.5374854286606288	102.0	0.5059523365345435	3072351.754657125	0.8632958801498127	25.0	1517888.205732348	1554463.5489247772	40.0
-0.0678524282114761	89.0	0.15966386743613253	2086118.62457705	0.951310861423221	-60.0	1753040.857046533	333077.76753051725	40.882352941176471
-0.06855058851834453	88.0	0.18125727857681315	2092835.8951999503	0.949438202247191	-57.5	1713494.1563281387	379341.73887181154	40.882352941176471
-0.06863764392969766	92.0	0.18871158042589375	2094859.7448917404	0.951310861423221	-55.0	1699535.4516626354	395324.29322910495	40.882352941176471
-0.06959370959377663	92.0	0.21609888382291373	2103514.624648068	0.9550561797752809	-52.5	1648947.462156445	454567.16249162285	40.882352941176471
-0.06861498007811481	96.0	0.22722871421921972	2104411.745113226	0.9550561797752809	-50.0	1626228.9700833235	478182.7750299027	40.882352941176471
-0.07094352519613593	90.0	0.24862713403363043	2114204.7722220295	0.9400749063670412	-47.5	1588556.0989442419	525648.6732777876	40.882352941176471
-0.07060293614738081	98.0	0.2665449943791661	2118015.8132391796	0.951310861423221	-45.0	1553469.3002043576	564546.5130348221	40.882352941176471
-0.07055583755029628	96.0	0.29609405020244095	2125286.851174202	0.9363295880149812	-42.5	1496002.0595680398	629284.7916061617	40.882352941176471
-0.07023537888978133	99.0	0.31540057227381996	2129482.413339818	0.9456928838951311	-40.0	1457842.4415254039	671639.9718144138	40.882352941176471
-0.07181922354998233	103.0	0.32720687298471096	2135458.7594346	0.9400749063670412	-37.5	1436721.9763721945	698736.7830624055	40.882352941176471
-0.07277365434482727	109.0	0.35700265492621713	2144710.5091256094	0.9382022471910112	-35.0	1379043.163319608	765667.3458060015	40.882352941176471
-0.07388303913215157	107.0	0.3687029554056214	2149751.2331498866	0.9232209737827716	-32.5	1357131.6001006444	792619.6330492423	40.882352941176471
-0.07402995971546036	107.0	0.39114691412104563	2155624.043481421	0.9194756554307116	-30.0	1312458.3508685327	843165.6926128886	40.882352941176471
-0.0750221415144291	112.0	0.4070363821495077	2161483.779604065	0.9082397003745318	-27.5	1281681.2418791824	879802.5377248826	40.882352941176471
-0.07642051737051458	110.0	0.4285774215821427	2169529.8377792374	0.9213483146067416	-25.0	1239718.3338582874	929811.5039209499	40.882352941176471
-0.07904451757908788	113.0	0.4329908005700744	2175657.717971352	0.898876404494382	-22.5	1233617.940900475	942039.7770708768	40.882352941176471
-0.08087039770717605	123.0	0.45596006301410075	2184878.8100486468	0.900749063670412	-20.0	1188661.3301406922	996217.4799079545	40.882352941176471
-0.08403837857200211	118.0	0.46251426677793084	2192582.4538796227	0.8801498127340824	-17.5	1178481.7878733329	1014100.6660062901	40.882352941176471
-0.0868966424385711	120.0	0.4783398146086081	2202002.269561584	0.8707865168539326	-15.0	1148696.912171762	1053305.3573898224	40.882352941176471
-0.09312156192002552	125.0	0.4771950691237122	2213646.003781341	0.850187265917603	-12.5	1157305.0459914748	1056340.9577898663	40.882352941176471
-0.09822628254293546	136.0	0.48589649715117134	2225595.972427956	0.846441947565543	-10.0	1144186.685351457	1081409.2870764986	40.882352941176471
-0.10671949274352759	134.0	0.4987464250390561	2245072.8377005057	0.8295880149812734	-7.5	1125350.7859450898	1119722.0517554162	40.882352941176471
-0.1185305515506902	132.0	0.48661297623066163	2264683.863577796	0.7846441947565543	-5.0	1162659.308500651	1102024.555077145	40.882352941176471
-0.13420201803399984	127.0	0.47589442506411667	2292045.132378471	0.7621722846441947	-2.5	1201273.6318842112	1090771.5004942596	40.882352941176471
-0.1514018795610364	137.0	0.4909976989000722	2328768.051314774	0.7827715355805244	0.0	1185348.2968472145	1143419.7544675593	40.882352941176471
-0.1728952795080729	136.0	0.4973654221633311	2371542.537686556	0.7940074906367042	2.5	1192019.2822517846	1179523.2554347715	40.882352941176471
-0.1995576846201453	124.0	0.4933770663272516	2421642.5547886277	0.7827715355805244	5.0	1226859.655413784	1194782.8993748438	40.882352941176471
-0.22864735707058187	131.0	0.498757836873149	2478728.0310004624	0.7883895131086143	7.5	1242443.0000618317	1236285.0309386305	40.882352941176471
-0.2594949324844004	133.0	0.5217724813857307	2543575.1756146927	0.8220973782771536	10.0	1216407.6446430685	1327167.5309716242	40.882352941176471
-0.29845053121431564	123.0	0.5025226216799171	2613430.8768112394	0.8014981273408239	12.5	1300122.7410168108	1313308.1357944286	40.882352941176471
-0.3392230878390381	122.0	0.5092831488827494	2693248.1805826807	0.8202247191011236	15.0	1321622.2664527975	1371625.9141298833	40.882352941176471
-0.3826858191987011	120.0	0.49927807821598336	2774044.045532056	0.8183520599250936	17.5	1389024.665592319	1385019.3799397368	40.882352941176471
-0.4278159569302327	119.0	0.5007426102569021	2860892.5086618834	0.8333333333333334	20.0	1428321.726210115	1432570.7824517684	40.882352941176471
-0.4700296067228703	114.0	0.5073891865252567	2943443.015136001	0.8408239700374532	22.5	1449971.858102697	1493471.1570333042	40.882352941176471
-0.5182425476780166	99.0	0.5179612423671122	3038467.9807323567	0.8651685393258427	25.0	1464659.3305395346	1573808.650192822	40.882352941176471
-0.05929787089452086	87.0	0.15965192432076442	2069722.4119120305	0.9588014981273408	-60.0	1739287.2460404611	330435.1658715695	41.764705882352942
-0.059256745819211976	85.0	0.1713983797388924	2072569.8933357229	0.9438202247191011	-57.5	1717334.771722371	355235.121613352	41.764705882352942
-0.060263660323491446	84.0	0.20227102474356667	2082190.4877404452	0.951310861423221	-55.0	1661023.6840738785	421166.80366656673	41.764705882352942
-0.060099556149711804	89.0	0.21984096263201827	2086253.0547646529	0.9531835205992509	-52.5	1627609.1749112029	458643.87985345	41.764705882352942
-0.06014291303462696	86.0	0.2397938734806364	2091306.8316729446	0.9456928838951311	-50.0	1589824.265869572	501482.56580337265	41.764705882352942
-0.060869193797401334	87.0	0.2532751509106357	2096057.0861855329	0.9456928838951311	-47.5	1565177.9113645847	530879.1748209482	41.764705882352942
-0.05890057032154071	98.0	0.27559203721494546	2097844.1885924167	0.9419475655430711	-45.0	1519695.0348986983	578149.1536937184	41.764705882352942
-0.060404309284269604	95.0	0.298118116253235	2106337.5499684582	0.9419475655430711	-42.5	1478400.1673784072	627937.3825900509	41.764705882352942
-0.061872425659750964	93.0	0.30575952153542685	2111054.5606738105	0.9344569288389513	-40.0	1465579.5282670057	645475.0324068051	41.764705882352942
-0.0609464088092539	104.0	0.33057260350480283	2115461.4821698624	0.9344569288389513	-37.5	1416147.8723948419	699313.6097750204	41.764705882352942
-0.061402509315606715	112.0	0.35002719947453015	2121182.065637511	0.9363295880149812	-35.0	1378710.647626814	742471.418010697	41.764705882352942
-0.06309779643921881	104.0	0.37671474347491474	2131079.2026637187	0.9288389513108615	-32.5	1328270.2475075303	802808.9551561886	41.764705882352942
-0.06285681262089324	112.0	0.3939666483416646	2134915.215233057	0.9232209737827716	-30.0	1293829.8233940657	841085.391838991	41.764705882352942
-0.06314905769064609	108.0	0.4085432252890765	2139106.582322027	0.9176029962546817	-27.5	1265189.0799430925	873917.5023789344	41.764705882352942
-0.06468242407027805	111.0	0.431159365030332	2147679.1552219344	0.9157303370786517	-25.0	1221687.1743675652	925991.980854369	41.764705882352942
-0.06585852958033726	118.0	0.4439992603275046	2153131.6343848426	0.900749063670412	-22.5	1197142.7813302213	955988.8530546211	41.764705882352942
-0.06604549750020391	130.0	0.4673191898342983	2159299.4108995795	0.9082397003745318	-20.0	1150217.3595883101	1009082.0513112692	41.764705882352942
-0.07099899742527001	128.0	0.45905829565833595	2166733.920236788	0.8895131086142322	-17.5	1172076.7396677833	994657.1805690048	41.764705882352942
-0.07409697816184573	119.0	0.46671880643233016	2174579.02611923	0.8745318352059925	-15.0	1159662.0985560839	1014916.9275631459	41.764705882352942
-0.07868347309121007	118.0	0.4736306137323921	2185090.0781253558	0.8408239700374532	-12.5	1150164.5233622827	1034925.5547630729	41.764705882352942
-0.08157010373026172	137.0	0.498042609880649	2196703.3190964055	0.8558052434456929	-10.0	1102651.4649201476	1094051.854176258	41.764705882352942
-0.09119255200451015	134.0	0.4888759684053641	2212859.3693490084	0.8164794007490637	-7.5	1131045.6022136288	1081813.7671353798	41.764705882352942
-0.10294284820187198	130.0	0.47241546616857133	2231275.994472353	0.7808988764044944	-5.0	1177186.705392954	1054089.289079399	41.764705882352942
-0.11852753334349078	130.0	0.4599634713278807	2258039.125354449	0.7509363295880149	-2.5	1219423.610862245	1038615.5144922038	41.764705882352942
-0.13046535700864703	139.0	0.5019557665488263	2291376.938511228	0.799625468164794	0.0	1141207.0708885216	1150169.8676227066	41.764705882352942
-0.15494092182340374	136.0	0.4871673814128405	2334595.7626236193	0.7883895131086143	2.5	1197256.858288757	1137338.904334862	41.764705882352942
-0.17840733278187818	133.0	0.5054938471300433	2384130.3373584654	0.8052434456928839	5.0	1178967.1210676865	1205163.2162907787	41.764705882352942
-0.21048376596328788	130.0	0.491769901710438	2442180.00360947	0.7715355805243446	7.5	1241189.3832752442	1200990.6203342262	41.764705882352942
-0.2417247151624099	129.0	0.5082497588791373	2506153.023297891	0.8108614232209738	10.0	1232401.3534925168	1273751.669805374	41.764705882352942
-0.27895943863992867	124.0	0.5036085823341098	2576350.3146890723	0.7902621722846442	12.5	1278878.185112471	1297472.1295766013	41.764705882352942
-0.3191211167068517	123.0	0.5154270112027447	2656257.012044335	0.8295880149812734	15.0	1287150.3993399902	1369106.6127043446	41.764705882352942
-0.3625327829265851	120.0	0.5095425703220804	2737981.5559232347	0.8426966292134831	17.5	1342863.3964236612	1395118.1594995738	41.764705882352942
-0.4080330343504167	122.0	0.5178273629796566	2827238.344875469	0.8539325842696629	20.0	1363216.9682336359	1464021.376641833	41.764705882352942
-0.4542628392776161	101.0	0.5134352677666435	2914735.1086322553	0.850187265917603	22.5	1418207.307662817	1496527.8009694386	41.764705882352942
-0.49905260959849673	108.0	0.5182196353382658	3001758.361284779	0.8820224719101124	25.0	1446188.2379261905	1555570.1233585884	41.764705882352942
-0.05086088485105931	88.0	0.15555246265412184	2052533.2158111455	0.951310861423221	-60.0	1733256.6194123377	319276.59639880783	42.647058823529413
-0.05101688080178993	92.0	0.1831406949146073	2059704.9645799347	0.9606741573033708	-57.5	1682489.1660476988	377215.79853223584	42.647058823529413
-0.050923093092917426	91.0	0.18944113692933243	2061094.8108089867	0.9531835205992509	-55.0	1670638.666530185	390456.14427880174	42.647058823529413
-0.05034754303573628	91.0	0.21627558441540679	2066676.902355689	0.951310861423221	-52.5	1619705.1475008898	446971.75485479925	42.647058823529413
-0.051258272476106606	94.0	0.2409785108003295	2074576.1685736706	0.9569288389513109	-50.0	1574647.8929289342	499928.2756447365	42.647058823529413
-0.05184039196099987	92.0	0.26263755902991104	2081087.4198660431	0.951310861423221	-47.5	1534515.6997845701	546571.7200814731	42.647058823529413
-0.05047415693926154	97.0	0.28069895867673306	2082968.7574870936	0.949438202247191	-45.0	1498281.596304298	584687.1611827957	42.647058823529413
-0.0499093112595101	100.0	0.2965641205126729	2085838.681331152	0.9400749063670412	-42.5	1467253.7672708656	618584.9140602865	42.647058823529413
