hub_lon	hub_lat	success_rate
-30	60	0.949438202247191
-20	60	0.9363295880149812
-10	60	0.9232209737827716
-30	50	0.9438202247191011
-20	50	0.9400749063670412
-10	50	0.8726591760299626
-30	40	0.9382022471910112
-20	40	0.9307116104868914
-10	40	0.897003745318352
