alpha_eff	formation_count	distance_success_rate	distance_total	formation_success_rate	hub_lon	distance_solo	distance_formation	hub_lat
-0.08600982768562336	109.0	0.39102060034139297	2178549.791974574	0.9288389513108615	-30.0	1326691.9444430594	851857.8475315146	40.0
-0.088992929905185	106.0	0.3876451125968336	2183425.454026128	0.9101123595505618	-28.823529411764707	1337031.2480533773	846394.205972751	40.0
-0.08833618036486016	110.0	0.41062162179168626	2187890.8477921383	0.9194756554307116	-27.647058823529413	1289495.559568543	898395.2882235952	40.0
-0.08926452320152467	108.0	0.4110809883378837	2189784.2841819846	0.9063670411985019	-26.470588235294116	1289605.596393689	900178.6877882954	40.0
-0.08902892377972103	109.0	0.420341451324174	2191639.778043813	0.900749063670412	-25.294117647058822	1270402.7329610863	921237.045082727	40.0
-0.0898420875858695	112.0	0.4319412864779943	2196087.820947916	0.9176029962546817	-24.117647058823529	1247506.822349018	948580.998598898	40.0
-0.09099546371283332	122.0	0.44139516959522046	2200653.2162934407	0.9176029962546817	-22.941176470588236	1229295.5166673302	971357.6996261106	40.0
-0.09266691486604872	115.0	0.4478454426489267	2205463.1445527077	0.900749063670412	-21.764705882352942	1217756.5263346066	987706.6182181011	40.0
-0.09337578166430385	117.0	0.4564587207594448	2208967.3069819473	0.9082397003745318	-20.588235294117645	1200664.915837532	1008302.3911444155	40.0
-0.09625566799320467	122.0	0.44722179201701506	2212184.96602404	0.8932584269662921	-19.411764705882355	1222847.641245669	989337.3247783707	40.0
-0.09883046169384492	118.0	0.4463876927130981	2216911.293339716	0.8745318352059925	-18.235294117647058	1227309.37615619	989601.9171835259	40.0
-0.09959780386994346	119.0	0.4639962708534744	2222768.4322629706	0.8913857677902621	-17.058823529411764	1191412.1687221287	1031356.263540842	40.0
-0.1002998259978545	123.0	0.47432318316724986	2226686.3806030015	0.8951310861423221	-15.882352941176471	1170517.4086402233	1056168.9719627781	40.0
-0.10379079123742559	113.0	0.4755768183638887	2233688.48109355	0.8614232209737828	-14.705882352941176	1171398.0200390122	1062290.4610545377	40.0
-0.10537498627096237	122.0	0.4849418259185915	2239057.3209405937	0.8670411985018727	-13.52941176470588	1153244.7753872725	1085812.5455533213	40.0
-0.10831626070990287	124.0	0.48662070841904126	2245111.9780881535	0.8726591760299626	-12.352941176470587	1152593.9968308215	1092517.9812573323	40.0
-0.11116008003739741	132.0	0.4862106368236542	2250459.477845717	0.8520599250936329	-11.176470588235293	1156262.1419765227	1094197.3358691945	40.0
-0.11601791785233596	128.0	0.4831478942450958	2259005.637648196	0.848314606741573	-10.0	1167571.82073067	1091433.8169175258	40.0
-0.11879583674783498	126.0	0.48847499665126287	2265656.102521604	0.8370786516853933	-8.8235294117647065	1158939.7454294504	1106716.3570921537	40.0
-0.12256646381526186	128.0	0.50228536835243	2276322.2717260504	0.848314606741573	-7.6470588235294095	1132958.9009832907	1143363.3707427594	40.0
-0.127348856945395	134.0	0.500039000045959	2284927.231720603	0.8333333333333334	-6.470588235294116	1142374.503593251	1142552.7281273517	40.0
-0.13384370262760306	131.0	0.49364991543819536	2295781.7542996546	0.8089887640449438	-5.2941176470588225	1162469.2854250784	1133312.4688745763	40.0
-0.14207609873549013	131.0	0.4715302032525166	2306047.141545456	0.7827715355805244	-4.117647058823529	1218676.264182642	1087370.8773628138	40.0
-0.14896870524328482	134.0	0.47528568650466335	2320191.125726359	0.7771535580524345	-2.9411764705882355	1217437.4937134788	1102753.6320128802	40.0
-0.15992095010660334	126.0	0.4556111767500157	2336277.75495525	0.7378277153558053	-1.764705882352942	1271843.4978052033	1064434.2571500463	40.0
-0.16563388300512477	130.0	0.48755345735220723	2355183.037796324	0.7865168539325843	-0.58823529411764497	1206905.405021452	1148277.632774872	40.0
-0.1750526716150017	130.0	0.5046270457238086	2377485.8070456116	0.8014981273408239	0.58823529411764852	1177742.1679858998	1199743.6390597117	40.0
-0.18609754343643836	135.0	0.4895676134429094	2394899.6520690257	0.7865168539325843	1.764705882352942	1222434.3449703387	1172465.307098687	40.0
-0.19950148712251528	129.0	0.4761237638914175	2417236.7006639396	0.7677902621722846	2.9411764705882391	1266332.864527353	1150903.8361365865	40.0
-0.20917036262127464	127.0	0.503024046860838	2442466.7526057027	0.7902621722846442	4.117647058823529	1213847.242386933	1228619.5102187698	40.0
-0.22102035407661474	128.0	0.5108470918285775	2467123.9697373332	0.8127340823970037	5.294117647058826	1206800.8646164415	1260323.105120892	40.0
-0.23624463015973524	131.0	0.5014457271148213	2493956.41925581	0.795880149812734	6.470588235294116	1243372.6292094043	1250583.7900464055	40.0
-0.24951002531030034	130.0	0.5103909480648382	2521605.5552517567	0.8108614232209738	7.647058823529413	1234600.9052612495	1287004.649990507	40.0
-0.26462889582942895	132.0	0.515191365725714	2551773.9782373654	0.8258426966292135	8.8235294117647101	1237122.0573659188	1314651.9208714466	40.0
-0.27978617509671294	131.0	0.5170077959452966	2581272.630252597	0.8277153558052435	10.0	1246734.5569517834	1334538.0733008136	40.0
-0.07769294613117995	113.0	0.39060800347533353	2162509.2299313955	0.9344569288389513	-30.0	1317815.8171309119	844693.4128004834	40.588235294117645
-0.07922985445206221	107.0	0.3982826683927687	2167366.3534385012	0.9250936329588015	-28.823529411764707	1304141.89880631	863224.454632191	40.588235294117645
-0.07943268800563824	109.0	0.40623837798353185	2169736.9819239606	0.9194756554307116	-27.647058823529413	1288306.5497362872	881430.4321876735	40.588235294117645
-0.07942461176736429	110.0	0.41999006020159135	2173147.3397086635	0.9082397003745318	-26.470588235294116	1260447.057677494	912700.2820311697	40.588235294117645
