sim_start	formation_aircraft_count	formation_success_rate	formation_count	distance_penalty	hub_delay_sum	fuel_delay	config_phi_max	distance_success_rate	sim_finish	Q_avg	config_etah_slack	fuel_saved	fuel_direct	config_Z	fuel_saved_disregard_delay	distance_total	config_count_hubs	distance_solo	fuel_actual	alpha_effective	Q_sum	avg_formation_size	config_alpha	hub_delay_avg	distance_direct	config_lock_time	aircraft_count	distance_formation
0	99	0.18609022556390978	49	0.0072843911253783755	12.508326714742282	960.2351821418318	15	0.0911563472225918	1993	0.6843641570771773	0.0	0.00393309650214857	30155441.909635425	0.2	0.003964939351111529	1925994.319320966	10	1750427.7124002047	30035877.411357753	0.0045659340135585594	67.75205155064056	2.020408163265306	0.13	0.1263467344923463	1912066.0821212253	1.0	532	175566.60692076135
0	448	0.8421052631578947	129	0.017246575354247007	2157.6237976457687	233524.2470987679	15	0.4724164802150016	1990	0.7621714415288717	6.666666666666667	0.03305223294313098	30155441.909635413	0.2	0.04079624968805384	1945042.673888829	10	1026172.4600222934	28925212.972036324	0.0441675670737032	341.45280580493454	3.4728682170542635	0.13	4.816124548316448	1912066.0821212253	1.0	532	918870.2138665358
0	486	0.9135338345864662	104	0.019785223504012572	5165.63795107585	617155.559652815	15	0.4992902752483183	1981	0.7402752115810575	13.333333333333334	0.021451365926963173	30155441.90963542	0.2	0.04191717642651416	1949896.7369104356	10	976332.2584326265	28891410.930889733	0.045122512278268814	359.7737528283939	4.673076923076923	0.13	10.628884672995575	1912066.0821212253	1.0	532	973564.4784778091
0	502	0.943609022556391	90	0.022067953290660025	8041.758539456766	1003201.3680775706	15	0.5196496021907886	1994	0.7420319785172623	20.0	0.00929303864659281	30155441.909635413	0.2	0.042560711230658854	1954261.4671101319	10	938730.2731495647	28872004.854486514	0.04548649499414249	372.5000532156657	5.5777777777777775	0.13	16.019439321627022	1912066.0821212255	1.0	532	1015531.193960567
0	507	0.9530075187969925	79	0.024435778979882805	11495.510582432893	1475053.1290941897	15	0.5260605503714184	1989	0.753599303580176	26.666666666666668	-0.007445044224716035	30155441.9096354	0.2	0.0414699454316908	1958788.9062988707	10	928347.3361898581	28904897.379174296	0.04395209256840159	382.07484691514924	6.417721518987341	0.13	22.67359089237257	1912066.0821212258	1.0	532	1030441.5701090127
0	512	0.9624060150375939	72	0.025007662369237238	14152.379173021516	1848654.5294759355	15	0.5291176130466443	2000	0.749120752013703	33.333333333333336	-0.019961921134783678	30155441.909635417	0.2	0.04134225523960544	1959882.3851305826	10	922874.0956581247	28908747.933344174	0.043777627326826524	383.5498250310159	7.111111111111111	0.13	27.64136557230765	1912066.0821212248	1.0	532	1037008.289472458
0	510	0.9586466165413534	68	0.023532722194613553	16986.023569235513	2237625.5048539583	15	0.5265733465357822	1987	0.746109493947279	40.0	-0.03195583789410161	30155441.909635413	0.2	0.04224720351909628	1957062.2020495269	10	926525.4089376205	28881458.81807076	0.04492181285503814	380.5158419131123	7.5	0.13	33.305928567128454	1912066.0821212248	1.0	532	1030536.7931119065
0	516	0.9699248120300752	68	0.022688956520016346	17884.277214110185	2360170.041031099	15	0.5410337463722832	1989	0.7528186770874697	46.666666666666671	-0.03362077620098014	30155441.909635413	0.2	0.04464602712107524	1955448.866321872	10	897485.0403363155	28809121.23228982	0.047645430508380465	388.4544373771344	7.588235294117647	0.13	34.659451965329815	1912066.0821212253	1.0	532	1057963.8259855565
0	513	0.9642857142857143	64	0.025362878186685034	20247.05169931962	2693607.766813188	15	0.5410648498140328	1983	0.7612554632250685	53.333333333333336	-0.04681607563631385	30155441.909635417	0.2	0.042508026291455	1960561.5812469572	10	899770.6237384098	28873593.59211019	0.04497555228913923	390.52405263446013	8.015625	0.13	39.46793703571076	1912066.0821212246	1.0	532	1060790.9575085475
0	516	0.9699248120300752	63	0.025633781999564453	21545.994609621957	2875137.6062793205	15	0.5441465078394572	2000	0.7598067857665213	60.0	-0.05270501460318	30155441.909635417	0.2	0.042638890980927546	1961079.5672390815	10	893964.9691306212	28869647.309568778	0.04510526401956498	392.06030145552495	8.19047619047619	0.13	41.755803507019294	1912066.0821212248	1.0	532	1067114.5981084602
0	73	0.13721804511278196	35	0.007879061465567716	13.670873773319766	1081.6844782834926	15	0.0712828948863318	1989	0.70987451264394	0.0	0.0010929219713765592	30155441.90963542	0.2	0.0011287922624346747	1927131.3683084855	10	1789759.8655491988	30121402.680137526	0.0013877148696554188	51.82083942300762	2.085714285714286	0.13	0.18727224347013377	1912066.0821212253	7.5555555555555554	532	137371.50275928655
0	444	0.8345864661654135	130	0.015966090742592254	2083.0928909903473	223923.10248015155	15	0.4514498064414582	1987	0.7326411475384332	6.666666666666667	0.03193338168874682	30155441.90963542	0.2	0.039359009976707715	1942594.302694205	10	1065610.4807486266	28968553.57066205	0.04272238409479732	325.2926695070644	3.4153846153846152	0.13	4.691650655383665	1912066.0821212248	7.5555555555555554	532	876983.8219455783
0	488	0.9172932330827067	107	0.021321874524494966	4985.173268398589	591601.1359006129	15	0.5058482608775307	1990	0.7462082724208849	13.333333333333334	0.021837169612285656	30155441.90963541	0.2	0.041455556823238204	1952834.915206757	10	964996.7695684988	28905331.27402066	0.04443839938958402	364.14963694139186	4.5607476635514015	0.13	10.21551899262006	1912066.0821212253	7.5555555555555554	532	987838.145638258
