"EPU",2
"TLL",2
"TAY",2
"ENF",2
,2
"KEV",2
"HEM",2
"HEL",2
,2
,2
,2
,2
,3
,3
"IVL",2
"JOE",2
"JYV",2
"KAU",2
"KEM",2
"KAJ",2
,2
"KOK",2
,2
"KAO",2
"KTT",2
"KUO",2
,2
"LPP",2
"MHQ",1
,2
"MIK",2
,2
"OUL",2
,2
"POR",2
,2
,2
,2
,2
"RVN",2
,2
"SVL",2
,2
"SOT",2
"TMP",2
,2
"TKU",2
"QVY",2
"VAA",2
"VRK",2
,2
"BFS",0
"ENK",0
"BHD",0
"LDY",0
"BHX",0
"CVT",0
,0
"GLO",0
,0
,0
,0
,0
"MAN",0
,0
,0
"NQY",0
"LYE",0
,0
,0
,0
"YEO",0
,0
"CWL",0
"SWS",0
"BRS",0
"LPL",0
"LTN",0
"PLH",0
"BOH",0
"SOU",0
"QLA",0
"ACI",0
"GCI",0
"JER",0
"ESH",0
"BQH",0
"LGW",0
"LCY",0
"FAB",0
,0
"BBS",0
"LHR",0
"SEN",0
"LYX",0
"MSE",0
,0
"CAX",0
,0
"BLK",0
"HUY",0
"BWF",0
"LBA",0
,0
"CEG",0
"IOM",0
"NCL",0
"MME",0
"EMA",0
,0
,0
,0
,0
"KOI",0
"LSI",0
"WIC",0
"ABZ",0
"INV",0
"GLA",0
"EDI",0
"ILY",0
"PIK",0
"BEB",0
"SDZ",0
"DND",0
"SYY",0
"TRE",0
"ADX",0
"LMO",0
"CBG",0
,0
"NWI",0
"STN",0
,0
,0
,0
"EXT",0
"FZO",0
"OXF",0
,0
,0
"MHZ",0
,0
,0
"FFD",0
"BZZ",0
"ODH",0
,0
"NHT",0
"QCY",0
,0
,0
,0
"BEQ",0
,0
,0
,0
,0
"WTN",0
,0
,0
,0
"KNF",0
"MPN",-4
"AMS",1
,1
"MST",1
,1
,1
"EIN",1
"GRQ",1
,1
"DHR",1
,1
"LWR",1
"RTM",1
"UTC",1
"ENS",1
"LID",1
"WOE",1
"ORK",0
"GWY",0
"DUB",0
"NOC",0
"KIR",0
,0
"SNN",0
"SXL",0
"WAT",0
"AAR",1
"BLL",1
"CPH",1
"EBJ",1
,1
"KRP",1
,1
,1
"ODE",1
,1
"RKE",1
"RNN",1
"SGD",1
"SKS",1
,1
"TED",1
,1
"FAE",0
,1
"STA",1
"AAL",1
"LUX",1
"AES",1
"ANX",1
"ALF",1
,1
"BNN",1
"BOO",1
"BGO",1
"BJF",1
"KRS",1
,1
"BDU",1
"EVE",1
"VDB",1
"FRO",1
"OSL",1
"HAU",1
"HAA",1
"KSU",1
,1
"KKN",1
"FAN",1
"MOL",1
"MJF",1
"LKL",1
,1
"OLA",1
"RRS",1
"RYG",1
"LYR",1
"SKE",1
"SRP",1
"SSJ",1
"TOS",1
"TRF",1
"TRD",1
"SVG",1
,1
"GDN",1
"KRK",1
,1
"KTW",1
,1
"POZ",1
"RZE",1
"SZZ",1
"OSP",1
,1
"WAW",1
"WRO",1
"IEG",1
,1
,1
,1
"RNB",1
,1
"GOT",1
"JKG",1
,1
"LDK",1
"GSE",1
"KVB",1
"THN",1
,1
,1
,1
"KSK",1
"MXX",1
"NYO",1
,1
,1
,1
"KID",1
"JLD",1
"OSK",1
,1
"KLR",1
"MMX",1
"HAD",1
,1
"VXO",1
,1
,1
"EVG",1
"GEV",1
"HUV",1
,1
"KRF",1
"LYC",1
,1
"SDL",1
"OER",1
,1
"KRN",1
,1
"SFT",1
,1
"UME",1
"VHM",1
"AJR",1
"ORB",1
"VST",1
"LLA",1
,1
,1
"ARN",1
"BMA",1
"BLE",1
"HLF",1
"GVX",1
"LPI",1
"NRK",1
,1
"VBY",1
,1
"SPM",1
"RMS",1
,1
"GHF",1
,1
"ZCN",1
,1
,1
,1
,1
,1
,1
,1
,1
"ZNF",1
,1
,1
,1
,1
"GKE",1
,1
,1
"RLG",1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
"FEL",1
,1
,1
,1
,1
"GUT",1
"ALJ",2
"AGZ",2
,2
"VIY",2
"BFN",2
,2
,2
"CPT",2
,2
"DUR",2
"ELS",2
,2
,2
"GCJ",2
"GRJ",2
,2
,2
,2
,2
,2
"HDS",2
,2
"JNB",2
,2
"KIM",2
,2
,2
,2
"KLZ",2
"HLA",2
,2
,2
,2
"LAY",2
,2
"MGH",2
,2
,2
,-3
,2
"MEZ",2
,2
"NCS",2
,2
,2
"DUH",2
"PLZ",2
,2
"PHW",2
"PTG",2
,2
"PZB",2
"NTY",2
,2
,2
,2
"UTW",2
"RCB",2
,2
,2
"SBU",2
,2
,2
,2
,2
"SIS",2
,2
"SZK",2
,2
,2
,2
"LTA",2
"ULD",2
"UTN",2
"UTT",2
"VRU",2
"VIR",2
,2
,2
"PRY",2
,2
,2
"WEL",2
,2
,2
"FRW",2
"JWA",2
"BBK",2
"MUB",2
"GBE",2
"PKW",2
"BZV",1
"FTX",1
"OUE",1
"PNR",1
"MTS",2
"BGF",1
"BBT",1
"BSG",1
"SSG",1
,0
"MRU",5
"RRG",4
,6
"TKC",1
"DLA",1
"MVR",1
"FOM",1
"NGE",1
"GOU",1
"BFX",1
"BPC",1
"YAO",1
,2
"LVI",2
"LUN",2
"MFU",2
,2
"NLA",2
"KIW",2
"HAH",3
"NWA",3
"AJN",3
"DZA",3
"RUN",5
"ZSE",5
"TNR",3
"ZVA",3
"SMS",3
"TMM",3
"MOQ",3
"DIE",3
"WMR",3
"ZWA",3
"AMB",3
"ANM",3
"HVA",3
"MJN",3
"NOS",3
"BPY",3
"WMN",3
"SVB",3
"VOH",3
"WAI",3
,3
"FTU",3
"WFI",3
"RVA",3
"WVK",3
"MNJ",3
"MXM",3
"TLE",3
"SSY",1
"BUG",1
"CAB",1
"CPX",-4
"NOV",1
"SVP",1
,1
"LAD",1
"MEG",1
"SPP",1
"GXG",1
"PBN",1
"VHC",1
"SZA",1
"SDD",1
"LUO",1
"UGO",1
"XGN",1
"OYE",1
"OKN",1
"LBQ",1
"BMM",1
"POG",1
"OMB",1
"MKU",1
"LBV",1
"MVB",1
"PCP",0
"TMS",0
"BEW",2
"INH",2
"VXC",2
,2
"MPM",2
,2
"MZB",2
,2
"MNC",2
"APL",2
"POL",2
"UEL",2
,2
"TET",2
,2
"VNX",2
,4
"DES",4
,4
"SEZ",4
"PRI",4
,4
"AEH",1
"MQQ",1
"NDJ",1
"FYT",1
"BUQ",2
,2
"BFO",2
"VFA",2
"HRE",2
"KAB",2
,2
,2
"MVZ",2
,2
"GWE",2
"WKM",2
"BLZ",2
"KGJ",2
,2
"LLW",2
"ZZU",2
"MSU",2
,2
"FIH",1
"NLO",1
"MNB",1
,1
"FDU",1
"KKW",1
"MDK",1
"BDT",1
"GMA",1
,1
"LIQ",1
"FKI",2
"IRP",2
"BUX",2
,2
"BKY",2
"GOM",2
"KND",2
"FBM",2
"KWZ",2
"FMI",2
"KMN",2
"KGA",2
"MJM",2
"BKO",0
"GAQ",0
"KYS",0
"MZI",0
"TOM",0
,0
"BJL",0
"FUE",0
"VDE",0
"SPC",0
"LPA",0
"ACE",0
"TFS",0
"TFN",0
"MLN",0
"FNA",0
,0
"MLW",0
"ROB",0
"AGA",0
"TTA",0
"FEZ",0
,0
"ERH",0
"MEK",0
"OUD",1
,0
"RBA",0
"CMN",0
"RAK",0
"NNA",0
"OZZ",0
"AHU",0
"TTU",0
"TNG",0
"ZIG",0
"CSK",0
"KLC",0
"DKR",0
"XLS",0
"BXE",0
"KGG",0
"TUD",0
"IEO",0
"TIY",0
"KFA",0
"EMN",0
"KED",0
"NKC",0
"SEY",0
"ATR",0
"NDB",0
,0
"FIG",0
"FAA",0
"LEK",0
"SID",-1
"BVC",-1
"MMO",-1
"SNE",-1
"VXE",-1
"ADD",3
,3
"AMH",3
"AXU",3
"BJR",3
"DIR",3
"GMB",3
"GDQ",3
,3
"JIM",3
"LLI",3
"MQX",3
"ASO",3
"BJM",2
"HGA",3
"BBO",3
"KMU",3
"C91",-5
"ALY",2
"ABS",2
"CAI",2
,2
"HRG",2
,2
"LXR",2
"MUH",2
"PSD",2
"SKV",2
"ASW",2
"ELT",2
"EDL",3
,3
"KIS",3
"KTL",3
"CDI",-5
"LOK",3
"LAU",3
"MBA",3
,3
"WIL",3
,3
"WJR",3
,1
,1
"GHT",1
"AKF",1
"BEN",1
"SEB",1
"TIP",1
,1
,1
,1
,1
"LTD",1
,1
"GYI",2
"KGL",2
"KME",2
"DOG",2
,2
"ELF",2
"KSL",2
,2
"EBD",2
"JUB",2
"MAK",2
"KRT",2
"ARK",3
"DAR",3
"DOD",3
"IRI",3
"JRO",3
"LKY",3
"MYW",2
"MWZ",3
"PMA",3
"TGT",3
"ZNZ",3
"EBB",3
"QDU",1
"SRT",3
"TIA",1
"BOJ",2
"GOZ",2
"PDV",2
"SOF",2
,2
"VAR",2
"LCA",2
"PFO",2
"AKT",2
"DBV",1
,1
"OSI",1
"PUY",1
,1
"RJK",1
"SPU",1
,1
"ZAG",1
"ZAD",1
,1
,1
