960	AMS-DTW	767
595	AMS-EWR	767
600	AMS-JFK	332
800	AMS-MEM	767
570	AMS-MSP	333
750	AMS-MSP	333
950	AMS-MSP	767
540	AMS-PDX	332
565	AMS-SEA	333
835	AMS-SEA	767
620	ARN-JFK	752
615	ATH-ATL	767
560	ATH-JFK	333
540	BCN-ATL	333
620	BCN-JFK	333
570	BRU-ATL	767
610	BRU-JFK	752
710	BUD-JFK	767
500	CDG-ATL	767
750	CDG-ATL	767
610	CDG-BOS	752
580	CDG-CVG	767
775	CDG-JFK	767
580	CDG-MSP	767
745	CDG-PHL	752
610	CDG-PIT	752
600	CDG-SLC	767
615	CPH-ATL	767
775	CPH-JFK	752
750	DUB-ATL	333
630	DUB-JFK	752
850	DUB-JFK	767
500	DUS-ATL	767
570	FCO-ATL	333
700	FCO-DTW	333
530	FCO-JFK	767
660	FCO-JFK	333
525	FRA-ATL	764
580	FRA-DTW	764
620	FRA-JFK	752
615	IST-JFK	332
650	KEF-JFK	752
540	LGW-ATL	767
785	LHR-ATL	764
630	LHR-BOS	764
815	LHR-BOS	752
555	LHR-DTW	764
840	LHR-DTW	764
610	LHR-JFK	764
750	LHR-JFK	764
1025	LHR-JFK	764
580	LHR-MIA	764
865	LHR-MSP	764
550	MAD-ATL	764
630	MAD-JFK	764
620	MAN-ATL	767
670	MAN-JFK	752
530	MUC-ATL	764
605	MXP-ATL	767
585	MXP-JFK	764
575	NCE-JFK	764
605	PRG-ATL	767
655	PRG-JFK	332
665	SNN-JFK	752
600	STR-ATL	767
595	SVO-JFK	767
640	TXL-JFK	767
640	VCE-ATL	767
725	VCE-JFK	764
565	VLC-JFK	752
530	ZRH-ATL	767
775	ZRH-JFK	767
585	ORY-EWR	752
760	ORY-EWR	752
660	ORY-IAD	752
850	DUB-BOS	330
645	DUB-JFK	330
1020	DUB-JFK	330
750	DUB-MCO	332
770	DUB-ORD	330
810	SNN-BOS	330
630	KEF-BOS	75W
1020	KEF-BOS	75W
1010	KEF-IAD	75W
630	KEF-JFK	75W
1020	KEF-JFK	75W
995	KEF-MSP	75W
1020	KEF-SEA	75W
1120	KEF-YHZ	75W
480	CPH-SFJ	332
500	CPH-UAK	738
490	RIX-JFK	763
835	MAD-BOS	340
770	MAD-JFK	346
950	MAD-JFK	340
1095	MAD-JFK	346
20	MAD-MEX	340
715	MAD-MEX	340
660	MAD-MIA	346
655	MAD-ORD	346
720	MAD-SJU	340
720	PMO-JFK	330
460	BRU-EWR	74F
955	AMS-ATL	777
690	AMS-IAD	330
585	AMS-IAH	74M
815	AMS-IAH	737
745	AMS-JFK	747
1005	AMS-JFK	777
530	AMS-LAX	747
810	AMS-MEX	74M
700	AMS-ORD	74M
530	AMS-SFO	777
860	AMS-YUL	M11
740	AMS-YVR	M11
690	AMS-YYC	M11
500	AMS-YYZ	777
990	AMS-YYZ	74M
670	DUS-EWR	333
655	DUS-ORD	333
680	DUS-YYZ	333
655	FRA-ATL	343
730	FRA-BOS	744
775	FRA-DEN	744
575	FRA-DFW	343
770	FRA-DTW	333
740	FRA-EWR	744
990	FRA-EWR	343
535	FRA-IAD	333
725	FRA-IAD	744
555	FRA-IAH	744
335	FRA-JFK	M1F
395	FRA-JFK	M1F
565	FRA-JFK	388
965	FRA-JFK	744
535	FRA-LAX	744
790	FRA-LAX	744
790	FRA-MCO	346
785	FRA-MEX	744
535	FRA-MIA	388
75	FRA-ORD	M1F
585	FRA-ORD	744
885	FRA-ORD	M1F
995	FRA-ORD	744
715	FRA-PHL	343
515	FRA-SEA	333
525	FRA-SFO	388
740	FRA-YVR	346
530	FRA-YYC	343
775	FRA-YYZ	343
895	MUC-BOS	346
635	MUC-CLT	346
870	MUC-EWR	346
630	MUC-IAD	333
635	MUC-JFK	343
885	MUC-LAX	346
880	MUC-ORD	346
915	MUC-SFO	346
880	MUC-YUL	333
690	WAW-JFK	763
670	WAW-ORD	763
950	WAW-YYZ	763
670	GVA-JFK	333
990	ZRH-BOS	343
960	ZRH-EWR	73H
