"Airport Report",,,,,,,,,,,
,,,,,,,,,,,
"Code","Name","City","State","State Name"," Latitude "," Longitude ","Country","Country Name","Global Region","WAC","Notes"
"CMQ","Clermont Airport","Clermont","QL","Queensland",-22.87,147.50,"AU","Australia","Australasia",802,
"CMR","Colmar-Houssen","Colmar","  "," ",48.11,7.36,"FR","France","Europe",427,
"CMS","Scusciuban Airport","Scusciuban","  "," ",10.30,50.23,"SO","Somalia","Africa",573,
"CMT","Cameta","Cameta","PA","Para",-2.25,-49.50,"BR","Brazil","South America",316,
"CMU","Chimbu","Kundiawa","  "," ",-6.03,144.97,"PG","Papua New Guinea","Australasia",804,
"CMV","Coromandel Airport","Coromandel","  "," ",-37.00,175.67,"NZ","New Zealand","Australasia",851,
"CMW","Ignacio Agramonte ","Camaguey","  "," ",21.42,-77.85,"CU","Cuba","Caribbean",219,
"CMX","Houghton County Meml","Hancock","MI","Michigan",47.17,-88.49,"US","United States","North America",43,
"CMY","Sparta","Sparta","WI","Wisconsin",43.95,-90.78,"US","United States","North America",45,
"CMZ","Caia Airport","Caia","  "," ",-17.85,35.40,"MZ","Mozambique","Africa",550,
"CNA","Cananea ","Cananea","  "," ",30.98,-110.27,"MX","Mexico","North America",148,
"CNB","Coonamble ","Coonamble","NS","New South Wales",-30.98,148.38,"AU","Australia","Australasia",802,
"CNC","Coconut Island","Coconut Island","QL","Queensland",-10.05,143.07,"AU","Australia","Australasia",802,
"CND","Kogalniceanu","Constanta","  "," ",44.35,28.48,"RO","Romania","Europe",473,
"CNE","Canon City Airport","Canon City","CO","Colorado",38.45,-105.23,"US","United States","North America",82,
"CNF","Tancredo Never Interna","Belo Horizonte","MG","Minas Gerais",-19.63,-43.97,"BR","Brazil","South America",316,
"CNG","Cognac","Cognac","  "," ",45.70,-0.33,"FR","France","Europe",427,
"CNH","Claremont Municipal Airport","Claremont","NH","New Hampshire",43.38,-72.33,"US","United States","North America",14,
"CNI","Changhai Airport","Changhai","  "," ",31.25,121.43,"CN","China","Asia",713,
"CNJ","Cloncurry ","Cloncurry","QL","Queensland",-20.67,140.50,"AU","Australia","Australasia",802,
"CNK","Blosser Municipal Airport","Concordia","KS","Kansas",39.57,-97.67,"US","United States","North America",62,
"CNL","Sindal Airport","Sindal","  "," ",57.48,10.22,"DK","Denmark","Europe",419,
"CNM","Cavern City Air Term","Carlsbad","NM","New Mexico",32.34,-104.26,"US","United States","North America",86,
"CNN","Chulman Airport","Chulman","FF","Far East Federal District",56.90,124.88,"RU","Russian Federation","Asia",475,
"CNO","Chino Airport","Chino","CA","California",33.98,-117.64,"US","United States","North America",91,
"CNP","Neerlerit Inaat ","Neerlerit Inaat","  "," ",70.74,-22.66,"GL","Greenland","North America",975,
"CNQ","Camba Punta ","Corrientes","CR","Corrientes",-27.45,-58.76,"AR","Argentina","South America",303,
"CNR","Chanaral","Chanaral","  "," ",-26.33,-70.60,"CL","Chile","South America",324,
"CNS","Cairns","Cairns","QL","Queensland",-16.88,145.75,"AU","Australia","Australasia",802,
"CNT","Charata ","Charata","CH","Chaco",-27.22,-61.22,"AR","Argentina","South America",303,
"CNU","Martin Johnson Airport","Chanute","KS","Kansas",37.68,-95.45,"US","United States","North America",62,
"CNV","Canavieiras Airport","Canavieiras","BA","Bahia",-15.67,-38.98,"BR","Brazil","South America",316,
"CNW","James Connall Airport","Waco","TX","Texas",31.92,-97.13,"US","United States","North America",74,
"CNX","Chiang Mai Intl ","Chiang Mai","  "," ",18.77,98.97,"TH","Thailand","Asia",782,
"CNY","Canyonlands Field ","Moab","UT","Utah",38.76,-109.75,"US","United States","North America",87,
"CNZ","Cangamba Airport","Cangamba","  "," ",-11.50,19.00,"AO","Angola","Africa",502,
"COA","Columbia","Columbia","CA","California",38.03,-120.41,"US","United States","North America",91,
"COB","Coolibah Airport","Coolibah","NT","Northern Territory",-15.55,130.93,"AU","Australia","Australasia",802,
"COC","Concordia ","Concordia","ER","Entre Rios",-31.30,-58.00,"AR","Argentina","South America",303,
"COD","Yellowstone Regional","Cody","WY","Wyoming",44.52,-109.03,"US","United States","North America",88,
"COE","Coeur D Alene Airport","Coeur D Alene","ID","Idaho",47.68,-116.77,"US","United States","North America",83,
"COF","Patrick Air Force Base","Cocoa","FL","Florida",28.35,-80.73,"US","United States","North America",33,
"COG","Mandinga","Condoto","  "," ",5.08,-76.66,"CO","Colombia","South America",327,
"COH","Cooch Behar ","Cooch Behar","  "," ",26.33,89.47,"IN","India","Asia",733,
"COI","Merritt Island Airport","Cocoa","FL","Florida",28.32,-80.60,"US","United States","North America",33,
"COJ","Coonabarabran ","Coonabarabran","NS","New South Wales",-31.34,149.27,"AU","Australia","Australasia",802,
"COK","Kochi Airport","Kochi","  "," ",9.94,76.27,"IN","India","Asia",733,"airport and city were previously named Cochin"
"COL","Coll Island ","Coll Island","SC","Scotland",56.62,-6.62,"GB","United Kingdom","Europe",493,
"COM","Coleman ","Coleman","TX","Texas",31.83,-99.43,"US","United States","North America",74,
"CON","Concord ","Concord","NH","New Hampshire",43.20,-71.50,"US","United States","North America",14,
"COO","Cotonou ","Cotonou","  "," ",6.35,2.39,"BJ","Benin","Africa",519,
"COP","Cooperstown Airport","Cooperstown","NY","New York",42.70,-74.93,"US","United States","North America",22,
"COQ","Choibalsan Airport","Choibalsan","  "," ",48.13,114.90,"MN","Mongolia","Asia",751,
"COR","Pajas Blancas ","Cordoba","CD","Cordoba",-31.31,-64.20,"AR","Argentina","South America",303,
"COS","Peterson Field","Colorado Springs","CO","Colorado",38.81,-104.71,"US","United States","North America",82,
"COT","Cotulla ","Cotulla","TX","Texas",28.43,-99.23,"US","United States","North America",74,
"COU","Columbia Regional ","Columbia","MO","Missouri",38.81,-92.22,"US","United States","North America",64,
"COV","Covilha Airport ","Covilha","  "," ",40.28,-7.50,"PT","Portugal","Europe",469,
"COW","Coquimbo Airport","Coquimbo","  "," ",-32.80,-70.63,"CL","Chile","South America",324,
"COX","Congo Town, Andros I","Congo Town, Andros I","  "," ",24.15,-77.59,"BS","Bahamas","Caribbean",204,
"COY","Coolawanyah Airport","Coolawanyah","WA","Western Australia",-21.85,117.75,"AU","Australia","Australasia",802,
"COZ","Constanza ","Constanza","  "," ",18.90,-70.72,"DO","Dominican Republic","Caribbean",224,
"CPA","A Tubman","Cape Palmas","  "," ",4.38,-7.70,"LR","Liberia","Africa",537,
"CPB","Capurgana ","Capurgana","  "," ",8.63,-77.33,"CO","Colombia","South America",327,
"CPC","Chapelco","San Martin De Los An","NE","Neuquen",-40.08,-71.14,"AR","Argentina","South America",303,
"CPD","Coober Pedy ","Coober Pedy","SA","South Australia",-29.04,134.75,"AU","Australia","Australasia",802,
"CPE","Campeche Intl ","Campeche","  "," ",19.84,-90.51,"MX","Mexico","North America",148,
"CPF","Cepu Airport","Cepu","  "," ",-7.15,111.58,"ID","Indonesia","Asia",732,
"CPG","Carmen De Patagones ","Carmen De Patagones","BA","Buenos Aires",-40.80,-62.98,"AR","Argentina","South America",303,
"CPH","Kastrup ","Copenhagen","  "," ",55.61,12.63,"DK","Denmark","Europe",419,
"CPI","Cape Orford Airport ","Cape Orford","  "," ",-5.43,152.08,"PG","Papua New Guinea","Australasia",804,
"CPL","Chaparral ","Chaparral","  "," ",3.70,-75.75,"CO","Colombia","South America",327,
"CPM","Compton ","Compton","CA","California",33.90,-118.22,"US","United States","North America",91,
"CPN","Cape Rodney ","Cape Rodney","  "," ",-10.18,148.38,"PG","Papua New Guinea","Australasia",804,
"CPO","Copiapo ","Copiapo","  "," ",-27.30,-70.42,"CL","Chile","South America",324,
"CPQ","Campinas Intl ","Campinas","SP","Sao Paulo",-23.00,-47.13,"BR","Brazil","South America",316,
"CPR","Casper","Casper","WY","Wyoming",42.91,-106.46,"US","United States","North America",88,
"CPS","Bi-State Parks Airport","St. Louis","MO","Missouri",38.63,-96.13,"US","United States","North America",64,
"CPT","Cape Town Intl. ","Cape Town","  "," ",-33.96,18.60,"ZA","South Africa","Africa",562,
"CPU","Cururupu Airport","Cururupu","MA","Maranhao",-1.80,-44.87,"BR","Brazil","South America",316,
"CPV","Joao Suassuna ","Campina Grande","PB","Paraiba",-7.27,-35.90,"BR","Brazil","South America",316,
"CPX","Culebra ","Culebra","PR","Puerto Rico",18.31,-65.30,"US","United States","North America",3,
"CQA","Canarana Airport","Canarana","MT","Mato Grosso",-13.57,-52.27,"BR","Brazil","South America",316,
"CQD","Shahre-Kord Airport ","Shahre-Kord","  "," ",32.30,50.84,"IR","Iran","Middle East",632,
"CQF","Calais","Calais","  "," ",50.96,1.95,"FR","France","Europe",427,
"CQM","Central","Ciudad Real","  "," ",38.86,-3.99,"ES","Spain","Europe",482,
"CQP","Cape Flattery Airport ","Cape Flattery","QL","Queensland",-18.20,147.50,"AU","Australia","Australasia",802,
"CQS","Costa Marques Airport","Costa Marques","RO","Rondonia",-12.42,-64.25,"BR","Brazil","South America",316,
"CQT","Caquetania Airport","Caquetania","  "," ",1.62,-74.17,"CO","Colombia","South America",327,
"CRA","Craioya ","Craiova","  "," ",44.32,23.89,"RO","Romania","Europe",473,
"CRB","Collarenebri","Collarenebri","NS","New South Wales",-29.53,148.58,"AU","Australia","Australasia",802,
"CRC","Cartago ","Cartago","  "," ",4.77,-75.93,"CO","Colombia","South America",327,
"CRD","Comodoro Rivadavia","Comodoro Rivadavia","CB","Chubut",-45.79,-67.46,"AR","Argentina","South America",303,
"CRE","Grand Strand","Myrtle Beach","SC","South Carolina",33.81,-78.72,"US","United States","North America",37,
"CRF","Carnot Airport","Carnot","  "," ",4.98,15.93,"CF","Central African Republic","Africa",509,
"CRG","Craig Municipal Airport","Jacksonville","FL","Florida",30.50,-81.67,"US","United States","North America",33,
"CRH","Cherribah Airport","Cherribah","QL","Queensland",-28.00,152.17,"AU","Australia","Australasia",802,
"CRI","Crooked Island","Crooked Island","  "," ",22.75,-74.18,"BS","Bahamas","Caribbean",204,
"CRJ","Coorabie Airport","Coorabie","SA","South Australia",-31.90,132.30,"AU","Australia","Australasia",802,
"CRK","Luzon Island Airport","Luzon Island","  "," ",15.18,120.56,"PH","Philippines","Asia",766,"name changed from Clark Air Base"
"CRL","Brussels S. Charleroi","Charleroi","  "," ",50.46,4.45,"BE","Belgium","Europe",409,
"CRM","Catarman","Catarman","  "," ",12.52,124.63,"PH","Philippines","Asia",766,
"CRN","Cromarty Airport","Cromarty","EN","England",57.67,-4.03,"GB","United Kingdom","Europe",493,
"CRO","Corcoran","Corcoran","CA","California",36.10,-119.55,"US","United States","North America",91,
"CRP","Corpus Christi Intl ","Corpus Christi","TX","Texas",27.77,-97.50,"US","United States","North America",74,
"CRQ","Caravelas Airport","Caravelas","BA","Bahia",-17.75,-39.25,"BR","Brazil","South America",316,
"CRR","Ceres Airport","Ceres","SF","Santa Fe",-29.92,-61.83,"AR","Argentina","South America",303,
"CRS","Corsicana ","Corsicana","TX","Texas",32.10,-96.47,"US","United States","North America",74,
"CRT","Crossett Municipal Airport","Crossett","AR","Arkansas",33.13,-91.97,"US","United States","North America",71,
"CRU","Carriacou ","Carriacou","  "," ",12.48,-61.47,"GD","Grenada and South Grenadines","Caribbean",273,
"CRV","Crotone ","Crotone","  "," ",38.99,17.09,"IT","Italy","Europe",450,
"CRW","Yeager","Charleston","WV","West Virginia",38.37,-81.59,"US","United States","North America",39,
"CRX","Roscoe Turner Airport ","Corinth","MS","Mississippi",34.90,-88.60,"US","United States","North America",53,
"CRY","Carlton Hill Airport","Carlton Hill","WA","Western Australia",-15.47,128.62,"AU","Australia","Australasia",802,
"CRZ","Chardzhou ","Chardzhou","  "," ",39.08,63.62,"TM","Turkmenistan","Asia",785,
"CSA","Colonsay Island Airport","Colonsay Island","EN","England",56.08,-6.20,"GB","United Kingdom","Europe",493,
"CSB","Caransebes Airport","Caransebes","  "," ",45.42,22.22,"RO","Romania","Europe",473,
"CSC","Canas ","Canas","  "," ",10.42,-85.12,"CR","Costa Rica","Central America",110,
"CSD","Cresswell Downs Airport","Cresswell Downs","NT","Northern Territory",-17.97,135.92,"AU","Australia","Australasia",802,
"CSE","Crested Butte Airport","Crested Butte","CO","Colorado",38.87,-106.98,"US","United States","North America",82,
"CSF","Creil Airport","Creil","  "," ",49.25,2.48,"FR","France","Europe",427,
"CSG","Columbus Airport","Columbus","GA","Georgia",32.52,-84.94,"US","United States","North America",34,
"CSH","Solovetsky Airport","Solovetsky","NF","Northwestern Federal District",65.03,35.73,"RU","Russian Federation","Europe",475,
"CSI","Casino","Casino","NS","New South Wales",-28.88,153.06,"AU","Australia","Australasia",802,
"CSJ","Cape St Jacques ","Cape St Jacques","  "," ",10.35,107.07,"VN","Vietnam","Asia",791,
"CSK","Cap Skirring","Cap Skirring","  "," ",12.40,-16.75,"SN","Senegal","Africa",569,
"CSL","Camp San Luis Obispo","San Luis Obispo","CA","California",35.24,-120.64,"US","United States","North America",91,
"CSM","Sherman ","Clinton","OK","Oklahoma",35.34,-99.20,"US","United States","North America",73,
"CSN","Carson City Airport ","Carson City","NV","Nevada",39.19,-119.73,"US","United States","North America",85,
"CSO","Cochstedt Airport","Cochstedt","  "," ",51.85,11.42,"DE","Germany","Europe",429,
"CSP","Coast Guard Heliport","Cape Spencer","AK","Alaska",58.20,-136.64,"US","United States","North America",1,
"CSQ","Creston ","Creston","IA","Iowa",41.07,-94.37,"US","United States","North America",61,
"CSR","Casuarito ","Casuarito","  "," ",5.83,-68.13,"CO","Colombia","South America",327,
"CSS","Cassilandia ","Cassilandia","MS","Mato Grosso do Sul",-19.15,-51.68,"BR","Brazil","South America",316,
"CST","Castaway","Castaway","  "," ",-17.75,177.17,"FJ","Fiji","Australasia",821,
"CSU","Cape Sabine, Ak","Cape Sabine, Ak","AK","Alaska",69.03,-163.85,"US","United States","North America",1,
"CSV","Crossville Memorial Airport","Crossville","TN","Tennessee",35.95,-85.08,"US","United States","North America",54,
"CSW","Colorado do Oeste Airport","Colorado do Oeste","RO","Rondonia",-13.02,-61.17,"BR","Brazil","South America",316,
"CSX","Changsha","Changsha","  "," ",28.20,112.97,"CN","China","Asia",713,
"CSY","Cheboksary","Cheboksary","VF","Volga Federal District",56.13,47.27,"RU","Russian Federation","Europe",475,
"CSZ","Brigadier Hector Ruiz","Coronel Suarez ","BA","Buenos Aires",-37.43,-61.88,"AR","Argentina","South America",303,
"CTA","Fontanarossa","Catania","  "," ",37.40,14.92,"IT","Italy","Europe",450,
"CTB","Cut Bank","Cut Bank","MT","Montana",48.61,-112.38,"US","United States","North America",84,
"CTC","Catamarca ","Catamarca","CA","Catamarca",-28.45,-65.78,"AR","Argentina","South America",303,
"CTD","Chitre Airport","Chitre","  "," ",7.58,-80.23,"PA","Panama","Central America",162,
"CTE","Carti ","Carti","  "," ",9.32,-79.10,"PA","Panama","Central America",162,
"CTF","Coatepeque Airport","Coatepeque","  "," ",14.77,-91.92,"GT","Guatemala","Central America",127,
"CTG","Rafael Nunez","Cartagena","  "," ",10.45,-75.51,"CO","Colombia","South America",327,
"CTH","Chestercounty Carlson Airport","Coatesville","PA","Pennsylvania",39.98,-75.83,"US","United States","North America",23,
"CTI","Cuito Cuanavale Airport ","Cuito Cuanavale","  "," ",-15.17,19.17,"AO","Angola","Africa",502,
"CTK","Canton Airport","Canton","SD","South Dakota",43.30,-96.58,"US","United States","North America",67,
"CTL","Charleville ","Charleville","QL","Queensland",-26.41,146.26,"AU","Australia","Australasia",802,
"CTM","Chetumal 1","Chetumal","  "," ",18.48,-88.33,"MX","Mexico","North America",148,
"CTN","Cooktown","Cooktown","QL","Queensland",-15.44,145.18,"AU","Australia","Australasia",802,
"CTO","Peconic River Airport","Calverton","NY","New York",38.63,-77.68,"US","United States","North America",22,
"CTP","Carutapera Airport","Carutapera","MA","Maranhao",-1.25,-46.02,"BR","Brazil","South America",316,
"CTQ","Do Palmar Airport","Santa Vitoria","RS","Rio Grande do Sul",-18.85,-50.10,"BR","Brazil","South America",316,
"CTR","Cattle Creek Airport","Cattle Creek","NT","Northern Territory",-17.58,131.00,"AU","Australia","Australasia",802,
"CTS","Chitose Ab","Sapporo","  "," ",42.80,141.67,"JP","Japan","Asia",736,
"CTT","Le Castellet Airport","Le Castellet","  "," ",43.25,5.78,"FR","France","Europe",427,
"CTU","Chengdu ","Chengdu","  "," ",30.58,103.95,"CN","China","Asia",713,
"CTW","Cottonwood","Cottonwood","AZ","Arizona",34.73,-112.03,"US","United States","North America",81,
"CTX","Cortland Airport","Cortland","NY","New York",42.60,-76.18,"US","United States","North America",22,
"CTY","Cross City Airport","Cross City","FL","Florida",29.63,-83.12,"US","United States","North America",33,
"CTZ","Sampson County Airport","Clinton","NC","North Carolina",35.00,-78.37,"US","United States","North America",36,
"CUA","Ciudad Constitucion ","Ciudad Constitucion","  "," ",25.05,-111.61,"MX","Mexico","North America",148,
"CUB","Owens Field","Columbia","SC","South Carolina",33.97,-81.00,"US","United States","North America",37,
"CUC","Camilo Dazo ","Cucuta","  "," ",7.93,-72.51,"CO","Colombia","South America",327,
"CUD","Caloundra Airport ","Caloundra","QL","Queensland",-26.80,153.15,"AU","Australia","Australasia",802,
"CUE","Cuenca","Cuenca","  "," ",-2.87,-78.98,"EC","Ecuador","South America",337,
"CUF","Cuneo ","Cuneo","  "," ",44.54,7.62,"IT","Italy","Europe",450,
"CUG","Orange","Orange","NS","New South Wales",-33.30,148.70,"AU","Australia","Australasia",802,
"CUH","Cushing Municipal Airport","Cushing","OK","Oklahoma",35.98,-96.77,"US","United States","North America",73,
"CUI","Currillo Airport","Currillo","  "," ",4.67,-72.00,"CO","Colombia","South America",327,
"CUJ","Culion","Culion","  "," ",11.88,120.02,"PH","Philippines","Asia",766,
"CUK","Caye Caulker","Caye Caulker","  "," ",17.77,-88.00,"BZ","Belize","Central America",106,
"CUL","Fedl De Bachigualato","Culiacan","  "," ",24.76,-107.47,"MX","Mexico","North America",148,
"CUM","Cumana","Cumana","  "," ",10.45,-64.19,"VE","Venezuela","South America",388,
"CUN","Cancun Intl ","Cancun","  "," ",21.03,-86.87,"MX","Mexico","North America",148,
"CUO","Caruru Airport","Caruru","  "," ",1.03,-71.23,"CO","Colombia","South America",327,
"CUP","Carupano","Carupano","  "," ",10.66,-63.26,"VE","Venezuela","South America",388,
"CUQ","Coen","Coen","QL","Queensland",-13.76,143.11,"AU","Australia","Australasia",802,
"CUR","Aeropuerto Hato","Curacao","  "," ",12.19,-68.96,"CW","Curacao","Caribbean",262,"designator was previously listed in the country of Netherlands Antilles (AN), which dissolved in Oct-10"
"CUS","Columbus","Columbus","NM","New Mexico",31.83,-107.63,"US","United States","North America",86,
"CUT","Cutral Co ","Cutral","NE","Neuquen",-38.94,-69.27,"AR","Argentina","South America",303,
"CUU","Gn Fierro Villalobos","Chihuahua","  "," ",28.65,-106.09,"MX","Mexico","North America",148,
"CUV","Casigua ","Casigua","  "," ",8.77,-72.55,"VE","Venezuela","South America",388,
"CUW","Cube Cove ","Cube Cove","AK","Alaska",57.94,-134.75,"US","United States","North America",1,
"CUX","Cuddihy Field","Corpus Christi","TX","Texas",27.75,-97.34,"US","United States","North America",74,
"CUY","Cue Airport","Cue","WA","Western Australia",-27.45,117.92,"AU","Australia","Australasia",802,
"CUZ","Velazco Astete","Cuzco","  "," ",-13.53,-71.96,"PE","Peru","South America",368,
"CVA","Civic Ar Heliport","Pittsburgh","PA","Pennsylvania",40.50,-80.24,"US","United States","North America",23,
"CVB","Chungribu Airport","Chungribu","  "," ",-4.80,144.70,"PG","Papua New Guinea","Australasia",804,
"CVC","Cleve ","Cleve","SA","South Australia",-33.70,136.50,"AU","Australia","Australasia",802,
"CVE","Covenas Airport","Covenas","  "," ",9.40,-75.73,"CO","Colombia","South America",327,
"CVF","Courchevel","Courchevel","  "," ",45.40,6.63,"FR","France","Europe",427,
"CVG","Cincinnati/Northern Kentucky Airport","Cincinnati, OH/Covington","KY","Kentucky",39.05,-84.66,"US","United States","North America",52,
"CVH","Caviahue","Caviahue","NE","Neuquen",-37.92,-71.00,"AR","Argentina","South America",303,
"CVI","Caleta Olivia Airport","Caleta Olivia","SC","Santa Cruz",-46.42,-67.42,"AR","Argentina","South America",303,
"CVJ","Cuernavaca Airport","Cuernavaca","  "," ",19.00,-99.00,"MX","Mexico","North America",148,
"CVL","Cape Vogel","Cape Vogel","  "," ",-9.67,150.02,"PG","Papua New Guinea","Australasia",804,
"CVM","Ciudad Victoria ","Ciudad Victoria","  "," ",23.71,-98.97,"MX","Mexico","North America",148,
"CVN","Clovis Municipal","Clovis","NM","New Mexico",34.43,-103.08,"US","United States","North America",86,
"CVO","Corvallis ","Corvallis","OR","Oregon",44.50,-123.29,"US","United States","North America",92,
"CVQ","Carnarvon ","Carnarvon","WA","Western Australia",-24.88,113.67,"AU","Australia","Australasia",802,
"CVR","Hughes Airport","Culver City","CA","California",41.22,-86.42,"US","United States","North America",91,
"CVS","Cannon Air Force Base","Clovis","NM","New Mexico",34.38,-103.32,"US","United States","North America",86,
"CVT","Baginton","Coventry","EN","England",52.37,-1.48,"GB","United Kingdom","Europe",493,
"CVU","Corvo Island","Corvo Island","  "," ",39.67,-31.12,"PT","Portugal","Europe",469,
"CWA","Central Wisconsin","Wausau","WI","Wisconsin",44.78,-89.66,"US","United States","North America",45,
"CWB","Afonso Pena ","Curitiba","PR","Parana",-25.53,-49.18,"BR","Brazil","South America",316,
"CWC","Chernovtsy","Chernovtsy","  "," ",48.27,25.97,"UA","Ukraine","Europe",488,
"CWF","Chennault International Airport","Lake Charles","LA","Louisiana",30.21,-93.14,"US","United States","North America",72,
"CWG","Callaway Gardens Airport","Callaway Gardens","GA","Georgia",32.84,-84.88,"US","United States","North America",34,
"CWI","Clinton Municipal ","Clinton","IA","Iowa",41.83,-90.33,"US","United States","North America",61,
"CWL","Cardiff-Wales ","Cardiff","WL","Wales",51.40,-3.35,"GB","United Kingdom","Europe",493,
"CWO","Ft. Wolter Air Force Base","Mineral Wells","TX","Texas",32.80,-98.12,"US","United States","North America",74,
"CWP","Campbellpore Airport","Campbellpore","  "," ",33.77,72.43,"PK","Pakistan","Asia",764,
"CWR","Cowarie Airport","Cowarie","SA","South Australia",-27.72,138.33,"AU","Australia","Australasia",802,
"CWS","Center Island ","Center Island","WA","Washington",47.48,-122.82,"US","United States","North America",93,
"CWT","Cowra ","Cowra","NS","New South Wales",-33.86,148.65,"AU","Australia","Australasia",802,
"CWW","Corowa Airport","Corowa","NS","New South Wales",-35.97,146.35,"AU","Australia","Australasia",802,
"CWX","Cochise County Airport","Willcox","AZ","Arizona",32.25,-109.89,"US","United States","North America",81,
"CXA","Caicara De Oro","Caicara","  "," ",7.62,-66.17,"VE","Venezuela","South America",388,
"CXB","Cox's Bazar","Cox's Bazar","  "," ",21.45,91.97,"BD","Bangladesh","Asia",703,
"CXC","Chitina Airport","Chitina","AK","Alaska",61.58,-144.43,"US","United States","North America",1,
"CXF","Coldfoot","Coldfoot","AK","Alaska",67.25,-150.21,"US","United States","North America",1,
"CXH","Coal Harbour","Vancouver","BC","British Columbia",49.30,-123.13,"CA","Canada","North America",906,
"CXI","Christmas Island","Christmas Island","  "," ",1.99,-157.36,"KI","Kiribati","Australasia",824,
"CXJ","Caxias Do Sul ","Caxias Do Sul","RS","Rio Grande do Sul",-29.17,-51.18,"BR","Brazil","South America",316,
"CXL","Calexico Intl ","Calexico","CA","California",32.67,-115.51,"US","United States","North America",91,
"CXN","Candala Airport","Candala","  "," ",11.50,49.92,"SO","Somalia","Africa",573,
"CXO","Montgomery County Airport","Conroe","TX","Texas",30.32,-95.45,"US","United States","North America",74,
"CXP","Tunggul Wulung","Cilacap","  "," ",-7.64,109.03,"ID","Indonesia","Asia",732,
"CXQ","Christmas Creek ","Christmas Creek","WA","Western Australia",-18.92,125.92,"AU","Australia","Australasia",802,
"CXR","Cam Rahn Airport","Nha Trang","  "," ",11.99,109.23,"VN","Vietnam","Asia",791,
"CXT","Charters Towers ","Charters Towers","QL","Queensland",-20.05,146.27,"AU","Australia","Australasia",802,
"CXY","Cat Cays Airport","Cat Cays","  "," ",25.42,-77.82,"BS","Bahamas","Caribbean",204,
"CYA","Les Cayes Airport ","Les Cayes","  "," ",18.27,-73.79,"HT","Haiti","Caribbean",238,
"CYB","Gerrard-Smith ","Cayman Brac","  "," ",19.69,-79.88,"KY","Cayman Islands","Caribbean",233,
"CYC","Caye Chapel ","Caye Chapel","  "," ",17.70,-88.04,"BZ","Belize","Central America",106,
"CYE","Crystal Lake Airport","Crystal Lake","PA","Pennsylvania",42.23,-88.32,"US","United States","North America",23,
"CYF","Crystal Lake","Chefornak","AK","Alaska",60.22,-164.20,"US","United States","North America",1,
"CYG","Corryong Airport","Corryong","VI","Victoria",-36.25,147.90,"AU","Australia","Australasia",802,
"CYI","Chiayi","Chiayi","  "," ",23.46,120.38,"TW","Taiwan","Asia",781,
"CYL","Coyoles Airport","Coyoles","  "," ",15.00,-86.50,"HN","Honduras","Central America",131,
"CYM","Chatham Sea Plane Base","Chatham","AK","Alaska",57.50,-135.00,"US","United States","North America",1,
"CYO","Cayo Largo Del Sur","Cayo Largo Del Sur","  "," ",21.62,-81.55,"CU","Cuba","Caribbean",219,
"CYP","Calbayog","Calbayog","  "," ",12.08,124.54,"PH","Philippines","Asia",766,
"CYR","Colonia ","Colonia","  "," ",-34.17,-57.50,"UY","Uruguay","South America",385,
"CYS","Cheyenne Municipal","Cheyenne","WY","Wyoming",41.16,-104.81,"US","United States","North America",88,
"CYT","Yakataga Intermediat","Cape Yakataga","AK","Alaska",60.08,-142.49,"US","United States","North America",1,
"CYU","Cuyo","Cuyo","  "," ",10.85,121.00,"PH","Philippines","Asia",766,
"CYW","Captain Rogelio Castillo Airport","Celaya","  "," ",20.55,-100.89,"MX","Mexico","North America",148,
"CYX","Cherskiy Airport","Cherskiy","FF","Far East Federal District",68.75,161.35,"RU","Russian Federation","Asia",475,
"CYZ","Cauayan ","Cauayan","  "," ",16.93,121.76,"PH","Philippines","Asia",766,
"CZA","Chichen Itza","Chichen Itza","  "," ",20.70,-88.57,"MX","Mexico","North America",148,
"CZB","Carlos Ruhl Airport","Cruz Alta","RS","Rio Grande do Sul",-28.64,-53.56,"BR","Brazil","South America",316,
"CZC","Copper Centre Airport","Copper Centre","AK","Alaska",61.97,-145.30,"US","United States","North America",1,
"CZE","Coro","Coro","  "," ",11.42,-69.68,"VE","Venezuela","South America",388,
"CZF","Cape Romanzof Afs ","Cape Romanzof","AK","Alaska",61.78,-166.04,"US","United States","North America",1,
"CZH","Corozal Municipal ","Corozal","  "," ",18.38,-88.41,"BZ","Belize","Central America",106,
"CZJ","Corazon De Jesus","Corazon De Jesus","  "," ",9.50,-79.50,"PA","Panama","Central America",162,
"CZK","Cascade Locks ","Cascade Locks","OR","Oregon",45.67,-121.90,"US","United States","North America",92,
"CZL","Ain El Bey","Constantine","  "," ",36.28,6.63,"DZ","Algeria","Africa",500,
"CZM","Cozumel ","Cozumel","  "," ",20.52,-86.93,"MX","Mexico","North America",148,
"CZN","Chisana Field ","Chisana","AK","Alaska",62.07,-142.05,"US","United States","North America",1,
"CZO","Chistochina ","Chistochina","AK","Alaska",62.57,-144.67,"US","United States","North America",1,
"CZP","Cape Pole Airport","Cape Pole","AK","Alaska",55.97,-133.79,"US","United States","North America",1,
"CZS","Campo Internacional ","Cruzeiro Do Sul","AC","Acre",-7.58,-72.78,"BR","Brazil","South America",316,
"CZT","Carrizo Springs Airport","Carrizo Springs","TX","Texas",28.52,-99.87,"US","United States","North America",74,
"CZU","Corozal ","Corozal","  "," ",9.34,-75.28,"CO","Colombia","South America",327,
"CZW","Czestochowa Airport","Czestochowa","  "," ",50.82,19.10,"PL","Poland","Europe",467,
