"Airport Report",,,,,,,,,,,
,,,,,,,,,,,
"Code","Name","City","State","State Name"," Latitude "," Longitude ","Country","Country Name","Global Region","WAC","Notes"
"ACK","Nantucket Memorial","Nantucket","MA","Massachusetts",41.26,-70.06,"US","United States","North America",13,
"ACL","Aguaclara ","Aguaclara","  "," ",4.75,-73.00,"CO","Colombia","South America",327,
"ACM","Arica ","Arica","  "," ",-2.13,-71.78,"CO","Colombia","South America",327,
"ACN","Ciudad Acuna","Ciudad Acuna","  "," ",29.30,-100.92,"MX","Mexico","North America",148,
"ACO","Ascona Airport","Ascona","  "," ",46.16,8.78,"CH","Switzerland","Europe",486,"location no longer in service"
"ACP","Sahand Airport","Sahand","  "," ",37.35,46.15,"IR","Iran","Middle East",632,
"ACR","Araracuara Airport","Araracuara","  "," ",-0.38,-72.30,"CO","Colombia","South America",327,
"ACS","Achinsk","Achinsk","IF","Siberian Federal District",56.27,90.57,"RU","Russian Federation","Asia",475,
"ACT","Waco Municipal","Waco","TX","Texas",31.61,-97.23,"US","United States","North America",74,
"ACU","Achutupo","Achutupo","  "," ",8.43,-77.97,"PA","Panama","Central America",162,
"ACV","Arcata","Eureka/Arcata","CA","California",40.98,-124.11,"US","United States","North America",91,
"ACX","Xingyi Airport","Xingyi","  "," ",25.09,104.96,"CN","China","Asia",713,
"ACY","Atlantic City Intl","Atlantic City","NJ","New Jersey",39.46,-74.58,"US","United States","North America",21,
"ACZ","Zabol Airport ","Zabol","  "," ",31.09,61.54,"IR","Iran","Middle East",632,
"ADA","Incirlik","Adana","  "," ",36.98,35.28,"TR","Turkey","Europe",679,
"ADB","Adnan Menderes","Izmir-Adnan Mend","  "," ",38.29,27.16,"TR","Turkey","Europe",679,
"ADC","Andakombe Airport","Andakombe","  "," ",-7.13,145.73,"PG","Papua New Guinea","Australasia",804,
"ADD","Bole","Addis Ababa","  "," ",8.98,38.80,"ET","Ethiopia","Africa",522,
"ADE","Aden International","Aden","  "," ",12.83,45.03,"YE","Yemen","Middle East",694,
"ADF","Adiyaman Airport","Adiyaman","  "," ",37.73,38.45,"TR","Turkey","Europe",679,
"ADG","Lenawee County Airport","Adrian","MI","Michigan",41.90,-84.03,"US","United States","North America",43,
"ADH","Aldan Airport","Aldan","FF","Far East Federal District",58.60,125.40,"RU","Russian Federation","Asia",475,
"ADI","Arandis ","Arandis","  "," ",-22.40,15.00,"NA","Namibia","Africa",575,
