alpha_eff	formation_count	distance_success_rate	distance_total	formation_success_rate	hub_lon	distance_solo	distance_formation	hub_lat
-0.079106939495104	84.0	0.1591750879223914	2107564.062381146	0.9531835205992509	-60.0	1772092.3674495546	335471.69493159134	40.0
-0.5371525365809987	102.0	0.5126803560823446	3073389.9198818034	0.8614232209737828	25.0	1497723.2813769118	1575666.6385048917	40.0
-0.16059447204692612	80.0	0.2876619520383727	2295728.737833535	0.9700374531835206	-60.0	1635334.9277577507	660393.8100757842	70.0
-0.3341067450166651	90.0	0.47506287331652663	2674918.6563658984	0.9419475655430711	25.0	1404164.1135847322	1270754.5427811665	70.0
